name,is a news presenter?,total screen time (in minutes)
contessa brewer,MSNBC,"3,039"
nikki haley,,"3,035"
rick scott,,"3,034"
lis wiehl,,"2,999"
cenk uygur,,"2,997"
barney frank,,"2,987"
julián castro,,"2,975"
richard grenell,,"2,965"
jeff flake,,"2,960"
mike viqueira,MSNBC,"2,959"
kathleen sebelius,,"2,953"
angus king,,"2,951"
uma pemmaraju,FOXNEWS,"2,947"
patrick caddell,,"2,941"
neal katyal,,"2,935"
ben stein,,"2,927"
janice dean,FOXNEWS,"2,906"
harold ford jr,,"2,898"
trish regan,FOXNEWS,"2,895"
charlie gasparino,FOXNEWS,"2,890"
sheila jackson lee,,"2,869"
frank bruni,,"2,853"
frances rivera,MSNBC,"2,842"
joe theismann,,"2,835"
tom cotton,,"2,831"
tim williams,,"2,826"
patti ann browne,,"2,824"
margaret hoover,,"2,812"
ryan mcdonough,,"2,792"
tom foreman,CNN,"2,792"
benjamin crump,,"2,789"
jen psaki,,"2,787"
john thune,,"2,774"
zoraida sambolin,,"2,774"
jack cafferty,,"2,769"
margaret nagle,,"2,759"
jon huntsman jr,,"2,739"
peter bergen,,"2,737"
bill richardson,,"2,727"
josh barro,,"2,725"
chuck grassley,,"2,721"
jason miller,,"2,719"
keith ellison,,"2,715"
k t mcfarland,,"2,700"
jim himes,,"2,691"
jackie speier,,"2,684"
bill maher,,"2,677"
tim pawlenty,,"2,667"
rush limbaugh,,"2,666"
chuck hagel,,"2,661"
bianna golodryga,CNN,"2,654"
joanne nosuchinsky,,"2,644"
jacob soboroff,,"2,643"
lisa ling,CNN,"2,637"
james mattis,,"2,630"
george will,,"2,629"
jonah goldberg,,"2,623"
tom selleck,,"2,622"
tim ryan,,"2,619"
nicholas kristof,,"2,615"
carlos lópez-cantera,,"2,610"
fred thompson,,"2,597"
ivanka trump,,"2,595"
jackie kucinich,,"2,583"
peter beinart,,"2,573"
steve king,,"2,568"
megalyn echikunwoke,,"2,567"
savannah guthrie,MSNBC,"2,557"
joaquin castro,,"2,547"
clarissa ward,CNN,"2,545"
doug collins,,"2,545"
tim scott,,"2,534"
oliver north,,"2,530"
david cicilline,,"2,527"
hilary rosen,,"2,517"
bob hope,,"2,510"
maria timmer,,"2,507"
drew pinsky,,"2,499"
monika jaruzelska,,"2,491"
betty nguyen,MSNBC,"2,489"
bobby jindal,,"2,486"
george h w bush,,"2,484"
dean obeidallah,,"2,476"
donna edwards,,"2,465"
stephen colbert,,"2,462"
max foster,CNN,"2,458"
ruth bader ginsburg,,"2,457"
jimmy fallon,,"2,456"
tom perez,,"2,452"
ted lieu,,"2,449"
steven clemons,,"2,445"
felicity huffman,,"2,441"
bob mcdonnell,,"2,418"
john neely kennedy,,"2,417"
gary tuchman,CNN,"2,413"
jeff merkley,,"2,412"
lee zeldin,,"2,412"
david jolly,,"2,404"
jim miklaszewski,,"2,399"
phil keating,FOXNEWS,"2,395"
jeh johnson,,"2,386"
ruth marcus,,"2,386"
mick mulvaney,,"2,384"
sean duffy,,"2,384"
mark mckinnon,,"2,381"
keith boykin,,"2,374"
john walsh,CNN,"2,358"
louie gohmert,,"2,355"
michael beschloss,,"2,343"
mazie hirono,,"2,326"
joe lieberman,,"2,325"
buck sexton,,"2,318"
orrin hatch,,"2,317"
nina turner,,"2,309"
liz macdonald,,"2,305"
wendy walsh,,"2,304"
jill dougherty,,"2,303"
ben rhodes,,"2,300"
kendis gibson,,"2,272"
alex trebek,,"2,269"
juliet huddy,,"2,267"
dennis kucinich,,"2,261"
steve cohen,,"2,261"
jean casarez,CNN,"2,254"
karen bass,,"2,243"
al franken,,"2,229"
r nicholas burns,,"2,224"
greg abbott,,"2,214"
ron klain,,"2,213"
john lewis,,"2,210"
neil gorsuch,,"2,209"
michiel veenstra,,"2,205"
michael mccaul,,"2,204"
laura ingle,FOXNEWS,"2,202"
david e sanger,,"2,201"
john h sununu,,"2,191"
mark zuckerberg,,"2,186"
lisa bloom,,"2,182"
dick cheney,,"2,181"
charles rangel,,"2,178"
titus welliver,,"2,176"
ronan farrow,MSNBC,"2,172"
lz granderson,,"2,159"
kathleen parker,CNN,"2,154"
luis gutiérrez,,"2,150"
daniel samper ospina,,"2,146"
loretta lynch,,"2,145"
timothy naftali,,"2,145"
marie osmond,,"2,142"
david petraeus,,"2,137"
dan rather,,"2,135"
tom brokaw,MSNBC,"2,130"
gary johnson,,"2,129"
robert gates,,"2,114"
bret stephens,,"2,108"
molly line,FOXNEWS,"2,106"
cheryl casone,FOXNEWS,"2,104"
brenda buttner,FOXNEWS,"2,097"
ezekiel emanuel,,"2,089"
rob portman,,"2,079"
larry elder,,"2,076"
dennis haysbert,,"2,074"
rahm emanuel,,"2,070"
thomas l friedman,,"2,068"
tom coburn,,"2,068"
mo brooks,,"2,060"
devon weigel,,"2,047"
preet bharara,,"2,036"
ed markey,,"2,035"
keith ablow,,"2,033"
jan brewer,,"2,025"
amy holmes,,"2,023"
antonin scalia,,"2,008"
david bossie,,"2,006"
rachel nichols,CNN,"2,006"
julie roginsky,,"2,002"
scottie nell hughes,,"2,001"
osama bin laden,,"1,999"
ron reagan,,"1,998"
john nichols,,"1,981"
alicia menendez,,"1,978"
aaron david miller,,"1,975"
dana white,,"1,973"
lawrence kudlow,,"1,973"
bill cosby,,"1,970"
evan mcmullin,,"1,969"
george foreman,,"1,961"
martin omalley,,"1,958"
richard stengel,,"1,955"
dan lothian,,"1,947"
gerri willis,FOXNEWS,"1,945"
tom frieden,,"1,944"
john hickenlooper,,"1,943"
patrick leahy,,"1,931"
mark sanford,,"1,928"
marisa tomei,,"1,922"
adrienne janic,,"1,918"
gloria allred,,"1,911"
rutanya alda,,"1,910"
campbell brown,CNN,"1,899"
earl hamner jr,,"1,895"
walid phares,FOXNEWS,"1,886"
sheldon whitehouse,,"1,878"
mark fuhrman,FOXNEWS,"1,877"
jerry hoffmann,,"1,873"
major garrett,,"1,871"
val demings,,"1,871"
ken starr,,"1,868"
steve israel,,"1,863"
debbie dingell,,"1,859"
ilhan omar,,"1,855"
james lankford,,"1,855"
ashley monroe,,"1,854"
peter navarro,,"1,852"
kristen soltis anderson,FOXNEWS,"1,842"
tulsi gabbard,,"1,838"
bill press,,"1,830"
grover norquist,,"1,830"
rob marciano,,"1,822"
christopher r hill,,"1,812"
steve forbes,,"1,806"
jeffrey epstein,,"1,798"
ben shapiro,,"1,797"
anna coren,,"1,796"
barbara lee,,"1,795"
goldie taylor,,"1,794"
susan candiotti,,"1,791"
colin powell,,"1,790"
michael nutter,,"1,788"
david cameron,,"1,786"
chuck woolery,,"1,784"
xavier becerra,,"1,782"
aji santoso,,"1,774"
jim demint,,"1,762"
xi jinping,,"1,760"
donald sterling,,"1,757"
sally kohn,,"1,757"
andy biggs,,"1,748"
wendy sherman,,"1,748"
molly henneberg,FOXNEWS,"1,745"
victor davis hanson,,"1,741"
chris collins,,"1,736"
marc morial,,"1,736"
casey stegall,FOXNEWS,"1,734"
hala gorani,CNN,"1,730"
julian assange,,"1,728"
michael weiss,,"1,723"
tony blinken,,"1,720"
james g stavridis,,"1,712"
gregory meeks,,"1,710"
ro khanna,,"1,709"
rob oneill,,"1,703"
ron fournier,,"1,698"
joão mário,,"1,696"
lester holt,MSNBC,"1,695"
jay leno,,"1,692"
roland martin,,"1,688"
terry mcauliffe,,"1,679"
john ratcliffe,,"1,676"
ash carter,,"1,674"
scott pruitt,,"1,672"
kathy griffin,,"1,671"
wendy davis,,"1,671"
ann romney,,"1,663"
christopher dickey,,"1,657"
condoleezza rice,,"1,657"
emmanuel macron,,"1,656"
kelly ayotte,,"1,653"
mara liasson,FOXNEWS,"1,653"
elena kagan,,"1,646"
adam housley,,"1,644"
barbara boxer,,"1,642"
benjamin jealous,,"1,640"
eric trump,,"1,640"
robert jeffress,FOXNEWS,"1,639"
glenn greenwald,,"1,638"
nischelle turner,,"1,638"
sevyn streeter,,"1,638"
dan kildee,,"1,637"
stephanie cutter,CNN,"1,635"
joe arpaio,,"1,633"
william bennett,FOXNEWS,"1,628"
wayne lapierre,,"1,627"
howard davies,,"1,621"
lynn smith,"CNN, MSNBC","1,621"
pam bondi,,"1,621"
deval patrick,,"1,620"
richard nixon,,"1,615"
bernard mcguirk,,"1,613"
meghan mccain,,"1,605"
jane harman,,"1,602"
john yoo,,"1,601"
bob casey jr,,"1,600"
sara sidner,CNN,"1,596"
tom costello,MSNBC,"1,596"
kerry sanders,MSNBC,"1,594"
bram moszkowicz,,"1,592"
david s rohde,,"1,592"
kevin brady,,"1,585"
pat toomey,,"1,578"
william bratton,,"1,577"
nancy grace,,"1,572"
fred clark,,"1,571"
bill cassidy,,"1,569"
tony perkins,,"1,567"
oprah winfrey,,"1,566"
dan coats,,"1,558"
mary matalin,,"1,557"
sarah haskins,,"1,556"
jimmy carter,,"1,555"
nora berra,,"1,554"
eliot engel,,"1,551"
sam seder,,"1,551"
mark geragos,,"1,549"
roy blunt,,"1,544"
brian fallon,,"1,539"
matthew davis,,"1,537"
chris stewart,,"1,535"
bob goodlatte,,"1,533"
will hurd,,"1,533"
bill neely,MSNBC,"1,527"
harvey levin,,"1,522"
jesse jackson,,"1,520"
pramila jayapal,,"1,520"
ron wyden,,"1,519"
david clarke,,"1,516"
wesley clark,,"1,513"
david plouffe,,"1,512"
dinesh dsouza,,"1,512"
l brent bozell jr,,"1,510"
peter welch,,"1,510"
gerry connolly,,"1,505"
bashar al-assad,,"1,503"
ed royce,,"1,503"
mike murphy,,"1,503"
amy walter,,"1,498"
tom cole,,"1,498"
ingrid van bergen,,"1,496"
bill burton,,"1,492"
marie l yovanovitch,,"1,490"
doris kearns goodwin,,"1,489"
ellis henican,FOXNEWS,"1,484"
alyssa milano,,"1,482"
sharron davies,,"1,482"
matt welch,,"1,480"
vittorio feltri,,"1,474"
john f kennedy,,"1,473"
peter schweizer,,"1,470"
elizabeth prann,FOXNEWS,"1,468"
joe madison,,"1,467"
donald rumsfeld,,"1,463"
stephen miller,,"1,462"
paz padilla,,"1,458"
jamie gangel,CNN,"1,453"
r james woolsey jr,,"1,449"
wolter kroes,,"1,447"
joseph s lacob,,"1,442"
robby mook,,"1,438"
o j simpson,,"1,437"
joni ernst,,"1,433"
zain verjee,CNN,"1,432"
rebecca berg,,"1,431"
clarence page,,"1,430"
zain asher,CNN,"1,430"
henk poort,,"1,428"
andrew ross sorkin,MSNBC,"1,418"
mahmoud ahmadinejad,,"1,418"
mehmet oz,,"1,418"
lisa murkowski,,"1,416"
jennifer aniston,,"1,414"
alex ferrer,,"1,413"
emanuel cleaver,,"1,413"
zuhdi jasser,,"1,413"
angela mcglowan,FOXNEWS,"1,410"
jamie raskin,,"1,407"
harvey weinstein,,"1,403"
cate edwards,,"1,402"
thomas mcguane,,"1,400"
franklin graham,,"1,398"
elizabeth gutiérrez,,"1,397"
anne nurmi,,"1,391"
jehmu greene,FOXNEWS,"1,387"
al gore,,"1,383"
michael mukasey,,"1,381"
ana marie cox,,"1,378"
katrina vanden heuvel,,"1,377"
nina easton,,"1,375"
ryan reynolds,,"1,375"
richard burr,,"1,373"
alec baldwin,MSNBC,"1,372"
patty murray,,"1,372"
michelle bernard,,"1,362"
cory gardner,,"1,359"
joseph crowley,,"1,355"
seth moulton,,"1,354"
christine odonnell,,"1,344"
stanis?aw mikulski,,"1,343"
gavin mcinnes,,"1,340"
chrystia freeland,,"1,339"
daniel pfeiffer,,"1,338"
