contributor.cfscore,cycle,district,dwnom1,icpsr,dime_name,party,recipient.cfscore,seat,state,congress,chamber,vv_name,nominate_dim1,nominate_log_likelihood,nominate_geo_mean_probability,nokken_poole_dim1,sctv_name,minutes
0.7559999999999999,2008.0,PRES,-0.294,49902,"edwards, john",D,-1.078,federal:president,00,108.0,Senate,"EDWARDS, John",-0.29100000000000004,-38.029990000000005,0.879,-0.36200000000000004,john edwards,"1,061"
,2008.0,,,C00431528,committee to draft michael bloomberg,,0.19699999999999998,federal:committee,DC,,,,,,,,michael bloomberg,"4,845"
0.758,2008.0,FL-67,,FL7502,"reagan, ron",R,0.623,state:lower,FL,,,,,,,,ron reagan,"1,998"
-0.823,2008.0,,,MI14435,"granholm, jennifer m (g)",D,-0.868,state:governor,MI,,,,,,,,jennifer granholm,"3,077"
1.239,2008.0,PRES,,P80000805,"buchanan, patrick j",I,1.265,federal:president,00,,,,,,,,pat buchanan,"4,798"
,2008.0,,,PA6810,"rendell, ed",D,-0.43799999999999994,state:governor,PA,,,,,,,,ed rendell,"5,952"
0.7859999999999999,2010.0,NHS10,0.429,14826,"gregg, judd alan",,0.585,federal:senate,NH,111.0,Senate,"GREGG, Judd Alan",0.429,-149.54081000000002,0.7609999999999999,0.344,judd gregg,739
-0.478,2010.0,CTS12,-0.212,15704,"lieberman, joseph i",,-0.483,federal:senate,CT,112.0,Senate,"LIEBERMAN, Joseph I.",-0.205,-95.42711,0.7859999999999999,-0.153,joe lieberman,"2,325"
-0.9840000000000001,2010.0,CA36,-0.263,29318,"harman, jane",,-0.812,federal:house,CA,112.0,House,"HARMAN, Jane L.",-0.262,-22.52676,0.767,-0.32899999999999996,jane harman,"1,602"
0.57,2010.0,NY-58,0.20199999999999999,29381,"quinn, jack",R,0.207,state:upper,NY,108.0,House,"QUINN, John Francis (Jack)",0.198,-108.38304,0.855,0.23199999999999998,jack quinn,"1,165"
1.073,2010.0,OKS10,0.7959999999999999,29555,"coburn, thomas a",,1.1540000000000001,federal:senate,OK,113.0,Senate,"COBURN, Thomas Allen",0.782,-98.18576,0.8009999999999999,0.7859999999999999,tom coburn,"2,068"
1.003,2010.0,,,AZ12022,"brewer, jan",R,0.748,state:governor,AZ,,,,,,,,jan brewer,"2,025"
,2010.0,,,FL143730,"bondi, pam",R,0.6729999999999999,state:office,FL,,,,,,,,pam bondi,"1,621"
,2010.0,,,IN5032,"daniels, mitch (g)",R,1.0859999999999999,state:governor,IN,,,,,,,,mitch daniels,"1,108"
,2010.0,,,LA16100,"landrieu, mitch",D,-0.054000000000000006,state:governor,LA,,,,,,,,mitch landrieu,"1,215"
0.484,2010.0,,,NJ90695,"christie, chris & guadagno, kim",R,0.54,state:governor,NJ,,,,,,,,chris christie,"15,179"
,2010.0,PRES,,P40002792,"clark, wesley k",D,-1.207,federal:president,00,,,,,,,,wesley clark,"1,513"
,2010.0,,,P80005291,"barbour, haley",R,1.117,state:governor,MS,,,,,,,,haley barbour,"3,695"
1.0979999999999999,2010.0,PRES,,S2AR00032,"huckabee, mike",R,1.133,federal:president,00,,,,,,,,mike huckabee,"31,217"
,2010.0,MDS06,,S6MD03201,"steele, michael",R,0.9359999999999999,federal:senate,MD,,,,,,,,michael steele,"14,778"
,2010.0,,,VA120807,"mcauliffe, terry",D,-0.9009999999999999,state:governor,VA,,,,,,,,terry mcauliffe,"1,679"
-0.163,2012.0,PRES,-0.318,14101,"biden, joseph r jr",,-0.755,federal:president,00,111.0,Senate,"BIDEN, Joseph Robinette, Jr.",-0.314,-37.644020000000005,0.9059999999999999,-0.741,joe biden,"34,132"
,2012.0,CTS10,-0.335,14213,"dodd, christopher j",,-0.56,federal:senate,CT,111.0,Senate,"DODD, Christopher John",-0.32799999999999996,-50.73445,0.919,-0.36700000000000005,chris dodd,721
,2012.0,PRES,0.94,14290,"paul, ron",,1.5830000000000002,federal:president,00,112.0,House,"PAUL, Ronald Ernest",0.863,-441.01564,0.628,0.648,ron paul,"5,652"
,2012.0,MA04,-0.509,14824,"frank, barney",,-0.8959999999999999,federal:house,MA,112.0,House,"FRANK, Barney",-0.499,-224.92067000000003,0.85,-0.40700000000000003,barney frank,"2,987"
0.758,2012.0,,0.317,15030,"kasich, john & taylor, mary",R,0.963,state:governor,OH,106.0,House,"KASICH, John Richard",0.314,-241.17526,0.7290000000000001,0.531,john kasich,"11,043"
1.1520000000000001,2012.0,AZS12,0.552,15429,"kyl, jon l",,0.9420000000000001,federal:senate,AZ,115.0,Senate,"KYL, Jon Llewellyn",0.5479999999999999,-8.46959,0.87605,0.586,jon kyl,"1,192"
1.261,2012.0,,0.665,20117,"pence, mike (g)",R,1.212,state:governor,IN,112.0,House,"PENCE, Mike",0.655,-125.08277,0.9109999999999999,0.621,mike pence,"22,085"
0.877,2012.0,,0.39799999999999996,20512,"jindal, bobby",R,0.955,state:governor,LA,110.0,House,"JINDAL, Bobby",0.38799999999999996,-254.7795,0.6679999999999999,0.369,bobby jindal,"2,486"
1.137,2012.0,IL08,0.716,21126,"walsh, joe",,1.06,federal:house,IL,112.0,House,"WALSH, Joe",0.708,-246.91471,0.8370000000000001,0.74,joe walsh,"1,151"
,2012.0,ARS10,-0.16899999999999998,29305,"lincoln, blanche lambert",,-0.40299999999999997,federal:senate,AR,111.0,Senate,"LINCOLN, Blanche Lambert",-0.166,-164.80066000000002,0.757,-0.11199999999999999,blanche lincoln,630
,2012.0,,-0.33299999999999996,29937,"inslee, jay r",D,-1.301,state:governor,WA,112.0,House,"INSLEE, Jay Robert",-0.33,-207.12559,0.804,-0.29100000000000004,jay inslee,"1,230"
,2012.0,VAS12,-0.17300000000000001,40706,"webb, james h jr",,-1.176,federal:senate,VA,112.0,Senate,"WEBB, James H. (Jim)",-0.16899999999999998,-100.69256999999999,0.773,-0.163,jim webb,736
,2012.0,PRES,0.402,49503,"thompson, fred dalton",,1.109,federal:president,00,107.0,Senate,"THOMPSON, Fred Dalton",0.40299999999999997,-100.02664,0.8,0.384,fred thompson,"2,597"
0.013000000000000001,2012.0,,-0.006,49905,"chafee, lincoln d",I,-0.037000000000000005,state:governor,RI,109.0,Senate,"CHAFEE, Lincoln Davenport",0.003,-150.05361000000002,0.745,-0.006,lincoln chafee,650
1.038,2012.0,PRES,0.71,99910,"bush, george w",,0.96,federal:president,00,110.0,President,"BUSH, George Walker",0.693,-84.27028,0.7609999999999999,,george w bush,"6,486"
1.149,2012.0,,,AL137252,"moore, roy",R,1.258,state:judicial,AL,,,,,,,,roy moore,"1,305"
0.556,2012.0,,,CA4450,"schwarzenegger, arnold",R,0.586,state:governor,CA,,,,,,,,arnold schwarzenegger,"1,148"
,2012.0,AZ02,,H2AZ08086,"konst, nomiki",,-1.308,federal:house,AZ,,,,,,,,nomiki konst,"1,232"
-0.515,2012.0,OH-25,,H2OH11151,"turner, nina",D,-0.45799999999999996,state:upper,OH,,,,,,,,nina turner,"2,309"
1.246,2012.0,,,H4KS03105,"kobach, kris",R,1.287,state:office,KS,,,,,,,,kris kobach,"1,200"
,2012.0,KY-95,,KY19712,"stumbo, gregory d",D,-0.091,state:lower,KY,,,,,,,,greg stumbo,604
-1.0590000000000002,2012.0,,,MA17948,"patrick, deval l (g)",D,-1.218,state:governor,MA,,,,,,,,deval patrick,"1,620"
-1.205,2012.0,,,MD17771,"omalley, martin (g)",D,-0.915,state:governor,MD,,,,,,,,martin omalley,"1,958"
-1.176,2012.0,MD-20,,MD8445,"raskin, jamie",D,-1.3780000000000001,state:upper,MD,,,,,,,,jamie raskin,"1,407"
0.945,2012.0,,,MI139374,"snyder, rick (ltg)",R,0.718,state:governor,MI,,,,,,,,rick snyder,965
-0.55,2012.0,MI-23,,MI20684,"whitmer, gretchen",D,-0.49200000000000005,state:upper,MI,,,,,,,,gretchen whitmer,863
-0.879,2012.0,MT-78,,MT78059,"gibson, steve",R,1.025,state:lower,MT,,,,,,,,steve gibson,723
,2012.0,,,NC80941,"mccrory, pat",R,0.8540000000000001,state:governor,NC,,,,,,,,pat mccrory,692
-1.004,2012.0,,,NY13066,"cuomo, andrew (g)",D,-0.738,state:governor,NY,,,,,,,,andrew cuomo,"11,429"
1.284,2012.0,,,OK3798,"pruitt, scott",R,0.925,state:office,OK,,,,,,,,scott pruitt,"1,672"
,2012.0,PRES,,P20002556,"pawlenty, timothy",,1.0170000000000001,federal:president,00,,,,,,,,tim pawlenty,"2,667"
1.0390000000000001,2012.0,CAS10,,S0CA00330,"fiorina, carly",,1.053,federal:senate,CA,,,,,,,,carly fiorina,"4,663"
,2012.0,SC-98,,SC142654,"murphy, chris",R,0.948,state:lower,SC,,,,,,,,chris murphy,"4,389"
1.121,2012.0,,,SC6845,"haley, nikki",R,1.008,state:governor,SC,,,,,,,,nikki haley,"3,035"
,2012.0,SC-90,,SC7837,"sellers, bakari t",D,-0.40299999999999997,state:lower,SC,,,,,,,,bakari sellers,"5,368"
1.087,2012.0,,,VA16891,"mcdonnell, robert f (bob)",R,0.975,state:governor,VA,,,,,,,,bob mcdonnell,"2,418"
1.319,2012.0,,,VA7162,"cuccinelli ii, kenneth t",R,1.214,state:office,VA,,,,,,,,ken cuccinelli,"3,908"
-1.546,2012.0,WI-14,,WI9905,"clark, fred",D,-1.679,state:upper,WI,,,,,,,,fred clark,"1,571"
-0.439,2014.0,MAS14,-0.501,14435,"markey, edward john",,-0.976,federal:senate,MA,116.0,Senate,"MARKEY, Edward John",-0.511,-59.429719999999996,0.88051,-0.614,ed markey,"2,035"
1.229,2014.0,PRES,0.38,14627,"gingrich, newt",,1.1440000000000001,federal:president,00,105.0,House,"GINGRICH, Newton Leroy",0.377,-12.388160000000001,0.905,0.501,newt gingrich,"23,840"
-1.079,2014.0,MAS14,-0.359,14920,"kerry, john f",,-0.9259999999999999,federal:senate,MA,113.0,Senate,"KERRY, John Forbes",-0.35200000000000004,-41.34711,0.899,-0.17800000000000002,john kerry,"8,364"
0.912,2014.0,KYS14,0.406,14921,"mcconnell, mitch",,0.7070000000000001,federal:senate,KY,116.0,Senate,"McCONNELL, Addison Mitchell (Mitch)",0.402,-50.36518,0.9106299999999999,0.312,mitch mcconnell,"12,338"
0.032,2014.0,OKS14,0.555,15424,"inhofe, james m",,0.9620000000000001,federal:senate,OK,116.0,Senate,"INHOFE, James Mountain",0.556,-42.03629,0.92305,0.6459999999999999,jim inhofe,"1,010"
,2014.0,VA07,0.532,20144,"cantor, eric ivan",,0.579,federal:house,VA,113.0,House,"CANTOR, Eric",0.518,-106.43993999999999,0.888,0.42700000000000005,eric cantor,"4,136"
0.9420000000000001,2014.0,WVS14,0.256,20146,"capito, shelley moore",,0.728,federal:senate,WV,116.0,Senate,"CAPITO, Shelley Moore",0.263,-25.6488,0.95232,0.317,shelley moore capito,682
,2014.0,MN06,0.594,20728,"bachmann, michele",,1.4169999999999998,federal:house,MN,113.0,House,"BACHMANN, Michele",0.584,-156.06765,0.848,0.581,michele bachmann,"8,456"
0.614,2014.0,LA06,0.447,20919,"cassidy, william",,1.0859999999999999,federal:house,LA,116.0,Senate,"CASSIDY, Bill",0.457,-45.57135,0.91289,0.529,bill cassidy,"1,569"
1.176,2014.0,COS14,0.473,21112,"gardner, cory",,1.145,federal:senate,CO,116.0,Senate,"GARDNER, Cory",0.44299999999999995,-42.50412,0.92265,0.33399999999999996,cory gardner,"1,359"
,2014.0,FL18,0.46,21119,"west, allen b mr.",,1.287,federal:house,FL,112.0,House,"WEST, Allen",0.451,-249.34458999999998,0.84,0.452,allen west,"4,225"
1.074,2014.0,ARS14,0.622,21301,"cotton, thomas",,1.161,federal:senate,AR,116.0,Senate,"COTTON, Tom",0.57,-56.14124,0.9002,0.428,tom cotton,"2,831"
1.031,2014.0,PRES,0.33899999999999997,29141,"santorum, richard j.",,0.925,federal:president,00,109.0,Senate,"SANTORUM, Richard John (Rick)",0.33799999999999997,-110.72166000000001,0.802,0.348,rick santorum,"16,401"
-1.04,2014.0,RIS14,-0.39,29142,"reed, jack",,-0.745,federal:senate,RI,116.0,Senate,"REED, John F. (Jack)",-0.37,-96.26076,0.8356100000000001,-0.325,jack reed,"1,235"
1.295,2014.0,GA01,0.545,29338,"kingston, john h (jack)",,1.063,federal:house,GA,113.0,House,"KINGSTON, Jack",0.54,-130.70729,0.8640000000000001,0.69,jack kingston,"3,950"
1.0759999999999998,2014.0,MIS12,0.525,29361,"hoekstra, peter",,1.242,federal:senate,MI,111.0,House,"HOEKSTRA, Peter",0.516,-153.45636000000002,0.821,0.5539999999999999,pete hoekstra,882
,2014.0,GAS14,0.42700000000000005,29512,"chambliss, saxby",,1.054,federal:senate,GA,113.0,Senate,"CHAMBLISS, Saxby",0.423,-135.34325,0.753,0.34299999999999997,saxby chambliss,"1,086"
0.9940000000000001,2014.0,NCS16,0.45899999999999996,29548,"burr, richard",,0.8809999999999999,federal:senate,NC,116.0,Senate,"BURR, Richard M.",0.45,-24.31203,0.9492700000000001,0.337,richard burr,"1,373"
,2014.0,SCS14,0.41700000000000004,29566,"graham, lindsey",,0.6679999999999999,federal:senate,SC,116.0,Senate,"GRAHAM, Lindsey O.",0.406,-28.12844,0.94725,0.324,lindsey graham,"15,358"
-0.585,2014.0,PRES,-0.593,29748,"kucinich, dennis j",,-1.416,federal:president,00,112.0,House,"KUCINICH, Dennis",-0.5820000000000001,-333.82678,0.782,-0.79,dennis kucinich,"2,261"
,2014.0,CA36,0.361,29775,"bono, mary",,0.6679999999999999,federal:house,CA,112.0,House,"BONO, Mary",0.353,-272.49942000000004,0.821,0.41100000000000003,mary bono,"1,205"
,2014.0,nyc1,-0.413,29926,"weiner, anthony d",I,-0.868,nyc:city,NY,112.0,House,"WEINER, Anthony D.",-0.408,-64.57824000000001,0.843,-0.40399999999999997,anthony weiner,"3,811"
-1.133,2014.0,NYS12,-0.374,40105,"clinton, hillary rodham",,-1.103,federal:senate,NY,111.0,Senate,"CLINTON, Hillary Rodham",-0.36700000000000005,-32.82782,0.917,-0.5920000000000001,hillary clinton,"46,362"
1.065,2014.0,TNS14,0.318,40304,"alexander, lamar",,0.9159999999999999,federal:senate,TN,116.0,Senate,"ALEXANDER, Lamar",0.324,-26.86177,0.94025,0.322,lamar alexander,"1,074"
1.44,2014.0,TXS14,0.507,40305,"cornyn, john",,1.073,federal:senate,TX,116.0,Senate,"CORNYN, John",0.494,-32.86877,0.9399799999999999,0.449,john cornyn,"3,262"
1.186,2014.0,IDS14,0.6609999999999999,40902,"risch, james e",,1.005,federal:senate,ID,116.0,Senate,"RISCH, James",0.631,-21.88342,0.95955,0.596,james risch,"1,084"
-1.256,2014.0,MNS14,-0.389,40904,"franken, al",,-1.482,federal:senate,MN,115.0,Senate,"FRANKEN, Al",-0.39899999999999997,-23.04081,0.9238799999999999,-0.33899999999999997,al franken,"2,229"
-1.082,2014.0,NHS14,-0.299,40906,"shaheen, jeanne",,-1.2670000000000001,federal:senate,NH,116.0,Senate,"SHAHEEN, Jeanne",-0.239,-69.15536999999999,0.8791700000000001,-0.213,jeanne shaheen,"1,113"
-1.111,2014.0,ORS14,-0.406,40908,"merkley, jeffrey alan",,-1.423,federal:senate,OR,116.0,Senate,"MERKLEY, Jeff",-0.445,-69.66847,0.8774700000000001,-0.41,jeff merkley,"2,412"
