name,minutes,icpsr
devon weigel,"2,047",
preet bharara,"2,036",
ed markey,"2,035",14435
keith ablow,"2,033",
jan brewer,"2,025",AZ12022
amy holmes,"2,023",
antonin scalia,"2,008",
david bossie,"2,006",
julie roginsky,"2,002",
scottie nell hughes,"2,001",
osama bin laden,"1,999",
ron reagan,"1,998",FL7502
john nichols,"1,981",6918
alicia menendez,"1,978",
aaron david miller,"1,975",
dana white,"1,973",
lawrence kudlow,"1,973",
bill cosby,"1,970",
evan mcmullin,"1,969",
george foreman,"1,961",
martin omalley,"1,958",MD17771
richard stengel,"1,955",
dan lothian,"1,947",
tom frieden,"1,944",
john hickenlooper,"1,943",
patrick leahy,"1,931",14307
mark sanford,"1,928",29565
marisa tomei,"1,922",
adrienne janic,"1,918",
gloria allred,"1,911",
rutanya alda,"1,910",
earl hamner jr,"1,895",
sheldon whitehouse,"1,878",40704
jerry hoffmann,"1,873",
major garrett,"1,871",
val demings,"1,871",21713
ken starr,"1,868",
steve israel,"1,863",20129
debbie dingell,"1,859",21529
ilhan omar,"1,855",21950
james lankford,"1,855",21166
ashley monroe,"1,854",
peter navarro,"1,852",H6CA49029
tulsi gabbard,"1,838",21324
bill press,"1,830",S8CA00051
grover norquist,"1,830",
rob marciano,"1,822",
christopher r hill,"1,812",
steve forbes,"1,806",P60003852
jeffrey epstein,"1,798",
ben shapiro,"1,797",
anna coren,"1,796",
barbara lee,"1,795",29778
goldie taylor,"1,794",
susan candiotti,"1,791",
colin powell,"1,790",
michael nutter,"1,788",
david cameron,"1,786",
chuck woolery,"1,784",
xavier becerra,"1,782",29316
aji santoso,"1,774",
jim demint,"1,762",29936
xi jinping,"1,760",
donald sterling,"1,757",
sally kohn,"1,757",
andy biggs,"1,748",21705
wendy sherman,"1,748",
victor davis hanson,"1,741",
chris collins,"1,736",21345
marc morial,"1,736",H0LA02044
julian assange,"1,728",
michael weiss,"1,723",H8NV03168
tony blinken,"1,720",
james g stavridis,"1,712",
gregory meeks,"1,710",29776
ro khanna,"1,709",21728
rob oneill,"1,703",
ron fournier,"1,698",
joão mário,"1,696",
jay leno,"1,692",
roland martin,"1,688",
terry mcauliffe,"1,679",VA120807
john ratcliffe,"1,676",21549
ash carter,"1,674",
scott pruitt,"1,672",OK3798
kathy griffin,"1,671",
wendy davis,"1,671",
ann romney,"1,663",
christopher dickey,"1,657",
condoleezza rice,"1,657",
emmanuel macron,"1,656",
kelly ayotte,"1,653",41106
elena kagan,"1,646",
adam housley,"1,644",
barbara boxer,"1,642",15011
benjamin jealous,"1,640",
eric trump,"1,640",
glenn greenwald,"1,638",
nischelle turner,"1,638",
sevyn streeter,"1,638",
dan kildee,"1,637",21372
joe arpaio,"1,633",S8AZ00247
wayne lapierre,"1,627",
howard davies,"1,621",
pam bondi,"1,621",FL143730
deval patrick,"1,620",MA17948
richard nixon,"1,615",99904
bernard mcguirk,"1,613",
meghan mccain,"1,605",
jane harman,"1,602",29318
john yoo,"1,601",
bob casey jr,"1,600",40703
bram moszkowicz,"1,592",
david s rohde,"1,592",
kevin brady,"1,585",29760
pat toomey,"1,578",29935
william bratton,"1,577",
nancy grace,"1,572",
fred clark,"1,571",WI9905
bill cassidy,"1,569",20919
tony perkins,"1,567",
oprah winfrey,"1,566",
dan coats,"1,558",14806
mary matalin,"1,557",
sarah haskins,"1,556",
jimmy carter,"1,555",99906
nora berra,"1,554",
eliot engel,"1,551",15603
sam seder,"1,551",
mark geragos,"1,549",
roy blunt,"1,544",29735
brian fallon,"1,539",
matthew davis,"1,537",
chris stewart,"1,535",21367
bob goodlatte,"1,533",39308
will hurd,"1,533",21550
harvey levin,"1,522",
jesse jackson,"1,520",P40001018
pramila jayapal,"1,520",21726
ron wyden,"1,519",14871
david clarke,"1,516",
wesley clark,"1,513",P40002792
david plouffe,"1,512",
dinesh dsouza,"1,512",
l brent bozell jr,"1,510",
peter welch,"1,510",20750
gerry connolly,"1,505",20952
bashar al-assad,"1,503",
ed royce,"1,503",29321
mike murphy,"1,503",
amy walter,"1,498",
tom cole,"1,498",20344
ingrid van bergen,"1,496",
bill burton,"1,492",
marie l yovanovitch,"1,490",
doris kearns goodwin,"1,489",
alyssa milano,"1,482",
sharron davies,"1,482",
matt welch,"1,480",AZ25859
vittorio feltri,"1,474",
john f kennedy,"1,473",99902
peter schweizer,"1,470",
joe madison,"1,467",
donald rumsfeld,"1,463",10622
stephen miller,"1,462",6509
paz padilla,"1,458",
r james woolsey jr,"1,449",
wolter kroes,"1,447",
joseph s lacob,"1,442",
robby mook,"1,438",
o j simpson,"1,437",
